id_cp_interaction,partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source
CPI-003434,P28482,P49023,MK01_HUMAN,PAXI_HUMAN,"Adhesome,OmniPath,Wang","PMID: 10753946,PMID: 11784715,PMID: 14636584,PMID: 15494312"
CPI-003435,P49023,P28482,PAXI_HUMAN,MK01_HUMAN,"Adhesome,OmniPath","PMID: 10753946,PMID: 11784715,PMID: 14636584,PMID: 15494312"
CPI-003436,P28482,P36507,MK01_HUMAN,MP2K2_HUMAN,"KEGG,OmniPath,SignaLink3,Signor,Wang","PMID: ,PMID: 10567369,PMID: 11134045,PMID: 11823456,PMID: 11971971,PMID: 12270934,PMID: 16293107,PMID: 9922370"
CPI-003437,P36507,P28482,MP2K2_HUMAN,MK01_HUMAN,"Macrophage,OmniPath,SPIKE,SignaLink3,Signor,Wang","PMID: 10567369,PMID: 11134045,PMID: 11823456,PMID: 11971971,PMID: 12270934,PMID: 16293107,PMID: 17906627,PMID: 18039929,PMID: 9922370"
CPI-003438,P28482,P10636,MK01_HUMAN,TAU_HUMAN,"CA1,KEGG,OmniPath,Signor,Wang","PMID: 10737616,PMID: 7488031,PMID: 8166686"
CPI-003439,P28482,P62993,MK01_HUMAN,GRB2_HUMAN,"Adhesome,KEGG,OmniPath,Wang","PMID: ,PMID: 8994038"
CPI-003440,P62993,P28482,GRB2_HUMAN,MK01_HUMAN,"KEGG,OmniPath,Wang",
CPI-003441,P01138,P28482,NGF_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003442,P28482,P01138,MK01_HUMAN,NGF_HUMAN,"OmniPath,Wang",
CPI-003443,P28482,P42702,MK01_HUMAN,LIFR_HUMAN,"OmniPath,Signor",PMID: 7777512
CPI-003444,P08581,P28482,MET_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003445,P28482,P08581,MK01_HUMAN,MET_HUMAN,"OmniPath,Wang",PMID: 
CPI-003446,P15018,P28482,LIF_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003447,P28482,P11802,MK01_HUMAN,CDK4_HUMAN,"OmniPath,Wang",
CPI-003448,P15692,P28482,VEGFA_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003449,P28482,P15692,MK01_HUMAN,VEGFA_HUMAN,"OmniPath,Wang",
CPI-003450,P28482,P14780,MK01_HUMAN,MMP9_HUMAN,"KEGG,OmniPath",
CPI-003451,P28482,P09601,MK01_HUMAN,HMOX1_HUMAN,"OmniPath,Wang",PMID: 
CPI-003452,P01583,P28482,IL1A_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003453,P08246,P28482,ELNE_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003454,P28482,P08246,MK01_HUMAN,ELNE_HUMAN,"OmniPath,Wang",PMID: 
CPI-003455,P28482,P11487,MK01_HUMAN,FGF3_HUMAN,"OmniPath,Wang",
CPI-003456,P28482,P45983,MK01_HUMAN,MK08_HUMAN,"Adhesome,OmniPath,Wang","PMID: ,PMID: 15778365"
CPI-003457,P45983,P28482,MK08_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003458,Q06124,P28482,PTN11_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003459,P28482,Q06124,MK01_HUMAN,PTN11_HUMAN,"KEGG,OmniPath,Wang",
CPI-003460,P01584,P28482,IL1B_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003461,P28482,P01584,MK01_HUMAN,IL1B_HUMAN,"OmniPath,Wang",
CPI-003462,P28482,P10415,MK01_HUMAN,BCL2_HUMAN,"KEGG,OmniPath,SignaLink3,Signor,Wang","PMID: 10669763,PMID: 10677502,PMID: 15225643"
CPI-003463,Q13163,P28482,MP2K5_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003464,P28482,Q13163,MK01_HUMAN,MP2K5_HUMAN,"OmniPath,Wang",
CPI-003465,P28482,P01588,MK01_HUMAN,EPO_HUMAN,"OmniPath,Wang",PMID: 
CPI-003466,P17252,P28482,KPCA_HUMAN,MK01_HUMAN,"KEGG,OmniPath,SPIKE,Wang",PMID: 19074803
CPI-003467,P28482,P17252,MK01_HUMAN,KPCA_HUMAN,"KEGG,OmniPath,Wang",PMID: 
CPI-003468,P28482,P55075,MK01_HUMAN,FGF8_HUMAN,"OmniPath,Wang",
CPI-003469,P55075,P28482,FGF8_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003470,P01308,P28482,INS_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003471,P28482,P01308,MK01_HUMAN,INS_HUMAN,"OmniPath,Wang",
CPI-003472,P28482,Q15118,MK01_HUMAN,PDK1_HUMAN,"OmniPath,Wang",PMID: 
CPI-003473,P27986,P28482,P85A_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003474,P28482,P27986,MK01_HUMAN,P85A_HUMAN,"OmniPath,Wang",
CPI-003475,P28482,O43521,MK01_HUMAN,B2L11_HUMAN,"KEGG,OmniPath,SPIKE,SignaLink3,Signor","PMID: 15486195,PMID: 16282323,PMID: 17604722"
CPI-003476,P28482,P24522,MK01_HUMAN,GA45A_HUMAN,"OmniPath,Wang",PMID: 
CPI-003477,O43561,P28482,LAT_HUMAN,MK01_HUMAN,"KEGG,OmniPath",
CPI-003478,P28482,O43561,MK01_HUMAN,LAT_HUMAN,"KEGG,OmniPath",
CPI-003479,P28482,P16035,MK01_HUMAN,TIMP2_HUMAN,"OmniPath,Wang",PMID: 
CPI-003480,P28482,P05556,MK01_HUMAN,ITB1_HUMAN,"Adhesome,OmniPath,Wang",PMID: 11857080
CPI-003481,P28482,Q13153,MK01_HUMAN,PAK1_HUMAN,"Adhesome,OmniPath,Wang","PMID: 11604394,PMID: 15542607"
CPI-003482,Q13153,P28482,PAK1_HUMAN,MK01_HUMAN,"Adhesome,OmniPath,Wang","PMID: 11604394,PMID: 15542607"
CPI-003483,P28482,P37840,MK01_HUMAN,SYUA_HUMAN,"OmniPath,SignaLink3,Wang",PMID: 12121974
CPI-003484,P37840,P28482,SYUA_HUMAN,MK01_HUMAN,"OmniPath,SignaLink3,Wang","PMID: ,PMID: 12121974"
CPI-003485,P05019,P28482,IGF1_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003486,P28482,P05019,MK01_HUMAN,IGF1_HUMAN,"OmniPath,Wang",
CPI-003487,P14210,P28482,HGF_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003488,P28482,P14210,MK01_HUMAN,HGF_HUMAN,"KEGG,OmniPath,Wang",PMID: 
CPI-003489,P28482,P41182,MK01_HUMAN,BCL6_HUMAN,"OmniPath,Signor,Wang","PMID: ,PMID: 9649500"
CPI-003490,P28482,P78536,MK01_HUMAN,ADA17_HUMAN,"OmniPath,Signor",PMID: 12058067
CPI-003491,P78536,P28482,ADA17_HUMAN,MK01_HUMAN,"OmniPath,SignaLink3",PMID: 12058067
CPI-003492,P28482,P04632,MK01_HUMAN,CPNS1_HUMAN,"OmniPath,Wang",PMID: 
CPI-003493,P28482,P01579,MK01_HUMAN,IFNG_HUMAN,"KEGG,OmniPath,Wang",PMID: 
CPI-003494,P23560,P28482,BDNF_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003495,P28482,P23560,MK01_HUMAN,BDNF_HUMAN,"OmniPath,Wang",
CPI-003496,P28482,P10242,MK01_HUMAN,MYB_HUMAN,"OmniPath,Signor",PMID: 8960373
CPI-003497,P28482,P35354,MK01_HUMAN,PGH2_HUMAN,"KEGG,OmniPath,Wang",PMID: 
CPI-003498,P35354,P28482,PGH2_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003499,Q05655,P28482,KPCD_HUMAN,MK01_HUMAN,"KEGG,OmniPath,Wang",PMID: 
CPI-003500,P28482,Q05655,MK01_HUMAN,KPCD_HUMAN,"KEGG,OmniPath,Wang",
CPI-003501,Q05513,P28482,KPCZ_HUMAN,MK01_HUMAN,"KEGG,OmniPath,SignaLink3,Wang","PMID: ,PMID: 11035106,PMID: 12900386,PMID: 12942541"
CPI-003502,P28482,Q05513,MK01_HUMAN,KPCZ_HUMAN,"KEGG,OmniPath,Wang",
CPI-003503,P60953,P28482,CDC42_HUMAN,MK01_HUMAN,"KEGG,OmniPath,Wang",
CPI-003504,P28482,P60953,MK01_HUMAN,CDC42_HUMAN,"KEGG,OmniPath,Wang",
CPI-003505,P48061,P28482,SDF1_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003506,P28482,P48061,MK01_HUMAN,SDF1_HUMAN,"OmniPath,Wang",
CPI-003507,P28482,Q04206,MK01_HUMAN,TF65_HUMAN,"OmniPath,Wang",PMID: 
CPI-003508,P28482,P16144,MK01_HUMAN,ITB4_HUMAN,"OmniPath,Wang",
CPI-003509,P20783,P28482,NTF3_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003510,P28482,P20783,MK01_HUMAN,NTF3_HUMAN,"OmniPath,Wang",
CPI-003511,P22301,P28482,IL10_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003512,P28482,P22301,MK01_HUMAN,IL10_HUMAN,"OmniPath,Wang",
CPI-003513,Q05516,P28482,ZBT16_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003514,P28482,Q05516,MK01_HUMAN,ZBT16_HUMAN,"OmniPath,Wang",
CPI-003515,P15391,P28482,CD19_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003516,P28482,P15391,MK01_HUMAN,CD19_HUMAN,"OmniPath,Wang",
CPI-003517,P28482,Q14790,MK01_HUMAN,CASP8_HUMAN,"Adhesome,OmniPath,Signor,Wang","PMID: 17290218,PMID: 24342355"
CPI-003518,P28482,Q07869,MK01_HUMAN,PPARA_HUMAN,"OmniPath,Signor,Wang",PMID: 10187842
CPI-003519,Q9Y4K3,P28482,TRAF6_HUMAN,MK01_HUMAN,"KEGG,OmniPath",
CPI-003520,P28482,Q9Y4K3,MK01_HUMAN,TRAF6_HUMAN,"KEGG,OmniPath",
CPI-003521,P28482,O75116,MK01_HUMAN,ROCK2_HUMAN,"OmniPath,Wang",PMID: 
CPI-003522,P28482,P10276,MK01_HUMAN,RARA_HUMAN,"OmniPath,Wang",PMID: 
CPI-003523,Q04759,P28482,KPCT_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003524,P28482,Q04759,MK01_HUMAN,KPCT_HUMAN,"OmniPath,Wang",
CPI-003525,P28482,P31947,MK01_HUMAN,1433S_HUMAN,"OmniPath,Wang",PMID: 
CPI-003526,O00206,P28482,TLR4_HUMAN,MK01_HUMAN,"KEGG,OmniPath",
CPI-003527,P28482,O00206,MK01_HUMAN,TLR4_HUMAN,"KEGG,OmniPath",
CPI-003528,P28482,Q16539,MK01_HUMAN,MK14_HUMAN,"KEGG,OmniPath,Wang",PMID: 
CPI-003529,Q16539,P28482,MK14_HUMAN,MK01_HUMAN,"KEGG,OmniPath,SPIKE,SignaLink3,Wang","PMID: ,PMID: 11238443,PMID: 12697810"
CPI-003530,P62136,P28482,PP1A_HUMAN,MK01_HUMAN,"OmniPath,Signor",PMID: 12840032
CPI-003531,P28482,P67775,MK01_HUMAN,PP2AA_HUMAN,"Adhesome,KEGG,OmniPath","PMID: 10592173,PMID: 12624094,PMID: 12840032"
CPI-003532,P67775,P28482,PP2AA_HUMAN,MK01_HUMAN,"Adhesome,KEGG,OmniPath,Signor","PMID: 10592173,PMID: 12624094,PMID: 12840032,PMID: 16456541,PMID: 20626350"
CPI-003533,P01375,P28482,TNFA_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003534,P28482,P01375,MK01_HUMAN,TNFA_HUMAN,"KEGG,OmniPath,Wang",
CPI-003535,P04899,P28482,GNAI2_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003536,P28482,P17676,MK01_HUMAN,CEBPB_HUMAN,"OmniPath,SPIKE,Signor,Wang","PMID: 19443782,PMID: 19723873"
CPI-003537,P08069,P28482,IGF1R_HUMAN,MK01_HUMAN,"KEGG,OmniPath,Wang",
CPI-003538,P28482,P08069,MK01_HUMAN,IGF1R_HUMAN,"KEGG,OmniPath,Wang",
CPI-003539,P07384,P28482,CAN1_HUMAN,MK01_HUMAN,"Adhesome,OmniPath",PMID: 14993287
CPI-003540,P28482,P07384,MK01_HUMAN,CAN1_HUMAN,"Adhesome,OmniPath,Wang",PMID: 14993287
CPI-003541,P28482,P84022,MK01_HUMAN,SMAD3_HUMAN,"OmniPath,SignaLink3,Signor,Wang","PMID: 10197981,PMID: 15241418,PMID: 1615667,PMID: 18729074,PMID: 19914161,PMID: 19914168"
CPI-003542,P84022,P28482,SMAD3_HUMAN,MK01_HUMAN,"OmniPath,SignaLink3","PMID: 10197981,PMID: 1615667,PMID: 18729074"
CPI-003543,Q05397,P28482,FAK1_HUMAN,MK01_HUMAN,"KEGG,OmniPath,Wang",
CPI-003544,P28482,Q05397,MK01_HUMAN,FAK1_HUMAN,"KEGG,OmniPath,Wang",
CPI-003545,P10747,P28482,CD28_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003546,P28482,P10747,MK01_HUMAN,CD28_HUMAN,"OmniPath,Wang",
CPI-003547,P28482,P15976,MK01_HUMAN,GATA1_HUMAN,"OmniPath,Wang",PMID: 
CPI-003548,P28482,P29350,MK01_HUMAN,PTN6_HUMAN,"KEGG,OmniPath,SignaLink3","PMID: 12459785,PMID: 16231973"
CPI-003549,P29350,P28482,PTN6_HUMAN,MK01_HUMAN,"KEGG,OmniPath",
CPI-003550,P02788,P28482,TRFL_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003551,P28482,P02788,MK01_HUMAN,TRFL_HUMAN,"OmniPath,Wang",
CPI-003552,Q13158,P28482,FADD_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003553,P28482,Q13158,MK01_HUMAN,FADD_HUMAN,"OmniPath,Wang",
CPI-003554,P28482,Q13480,MK01_HUMAN,GAB1_HUMAN,"Adhesome,OmniPath,Signor,Wang","PMID: 10593929,PMID: 15379552"
CPI-003555,P16871,P28482,IL7RA_HUMAN,MK01_HUMAN,"OmniPath,SignaLink3",PMID: 20167604
CPI-003556,P28482,P53667,MK01_HUMAN,LIMK1_HUMAN,"OmniPath,Wang",PMID: 
CPI-003557,O60504,P28482,VINEX_HUMAN,MK01_HUMAN,"Adhesome,OmniPath",PMID: 15184391
CPI-003558,P28482,O60504,MK01_HUMAN,VINEX_HUMAN,"Adhesome,OmniPath,Signor,Wang",PMID: 15184391
CPI-003559,P28482,P49841,MK01_HUMAN,GSK3B_HUMAN,"OmniPath,SignaLink3,Signor","PMID: 16039586,PMID: 18045539"
CPI-003560,P41279,P28482,M3K8_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003561,P28482,P41279,MK01_HUMAN,M3K8_HUMAN,"OmniPath,Wang",
CPI-003562,P04626,P28482,ERBB2_HUMAN,MK01_HUMAN,"KEGG,OmniPath",
CPI-003563,P28482,P04626,MK01_HUMAN,ERBB2_HUMAN,"KEGG,OmniPath",
CPI-003564,P28482,Q02156,MK01_HUMAN,KPCE_HUMAN,"OmniPath,SignaLink3,Wang",PMID: 11350735
CPI-003565,Q02156,P28482,KPCE_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003566,P25942,P28482,TNR5_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003567,P28482,P25942,MK01_HUMAN,TNR5_HUMAN,"OmniPath,Wang",
CPI-003568,P28482,Q92574,MK01_HUMAN,TSC1_HUMAN,"OmniPath,SignaLink3,Signor,Wang","PMID: 15851026,PMID: 17671177"
CPI-003569,P28482,Q92934,MK01_HUMAN,BAD_HUMAN,"KEGG,OmniPath,SignaLink3,Wang",PMID: 8929531
CPI-003570,P28482,Q8IZP0,MK01_HUMAN,ABI1_HUMAN,"OmniPath,Signor",PMID: 21419341
CPI-003571,P28482,P17655,MK01_HUMAN,CAN2_HUMAN,"Adhesome,OmniPath,SignaLink3,Signor,Wang",PMID: 14993287
CPI-003572,P28482,P24385,MK01_HUMAN,CCND1_HUMAN,"OmniPath,Wang",
CPI-003573,Q02297,P28482,NRG1_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003574,P28482,Q02297,MK01_HUMAN,NRG1_HUMAN,"OmniPath,Wang",
CPI-003575,P04141,P28482,CSF2_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003576,O76093,P28482,FGF18_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003577,P28482,O76093,MK01_HUMAN,FGF18_HUMAN,"OmniPath,Wang",PMID: 
CPI-003578,P15498,P28482,VAV_HUMAN,MK01_HUMAN,"Adhesome,OmniPath,SignaLink3","PMID: 8900182,PMID: 9013873"
CPI-003579,P28482,P15498,MK01_HUMAN,VAV_HUMAN,"Adhesome,OmniPath,Wang","PMID: 8900182,PMID: 9013873"
CPI-003580,P28482,P06702,MK01_HUMAN,S10A9_HUMAN,"OmniPath,Wang",PMID: 
CPI-003581,P28482,P55085,MK01_HUMAN,PAR2_HUMAN,"OmniPath,Wang",PMID: 
CPI-003582,O43320,P28482,FGF16_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003583,P28482,O43320,MK01_HUMAN,FGF16_HUMAN,"OmniPath,Wang",PMID: 
CPI-003584,P28482,Q03405,MK01_HUMAN,UPAR_HUMAN,"KEGG,OmniPath,Wang",PMID: 
CPI-003585,P28482,P23396,MK01_HUMAN,RS3_HUMAN,"OmniPath,Signor",PMID: 15950189
CPI-003586,P28482,P24158,MK01_HUMAN,PRTN3_HUMAN,"OmniPath,Wang",PMID: 
CPI-003587,P02741,P28482,CRP_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003588,P28482,P10767,MK01_HUMAN,FGF6_HUMAN,"OmniPath,Wang",
CPI-003589,P12643,P28482,BMP2_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003590,P28482,P12643,MK01_HUMAN,BMP2_HUMAN,"OmniPath,Wang",
CPI-003591,Q9Y6W6,P28482,DUS10_HUMAN,MK01_HUMAN,"KEGG,OmniPath,Wang",
CPI-003592,P28482,Q9Y6W6,MK01_HUMAN,DUS10_HUMAN,"KEGG,OmniPath,Wang",
CPI-003593,P60568,P28482,IL2_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003594,P28482,P60568,MK01_HUMAN,IL2_HUMAN,"OmniPath,Wang",
CPI-003595,O60258,P28482,FGF17_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003596,P28482,O60258,MK01_HUMAN,FGF17_HUMAN,"OmniPath,Wang",
CPI-003597,P28482,P52735,MK01_HUMAN,VAV2_HUMAN,"OmniPath,Wang",PMID: 
CPI-003598,P51452,P28482,DUS3_HUMAN,MK01_HUMAN,"KEGG,OmniPath,SignaLink3,Wang","PMID: 10224087,PMID: 12204117,PMID: 12840032"
CPI-003599,P28482,P51452,MK01_HUMAN,DUS3_HUMAN,"KEGG,OmniPath,Wang",
CPI-003600,P28482,P61328,MK01_HUMAN,FGF12_HUMAN,"OmniPath,Wang",
CPI-003601,P61328,P28482,FGF12_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003602,P28482,Q14192,MK01_HUMAN,FHL2_HUMAN,"Adhesome,OmniPath,SignaLink3",PMID: 14729955
CPI-003603,P10644,P28482,KAP0_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003604,P28482,P10644,MK01_HUMAN,KAP0_HUMAN,"OmniPath,Wang",PMID: 
CPI-003605,P23469,P28482,PTPRE_HUMAN,MK01_HUMAN,"OmniPath,Signor",PMID: 12754301
CPI-003606,P23467,P28482,PTPRB_HUMAN,MK01_HUMAN,"OmniPath,Signor",PMID: 21454675
CPI-003607,P28482,P34741,MK01_HUMAN,SDC2_HUMAN,"OmniPath,Wang",PMID: 
CPI-003608,P34741,P28482,SDC2_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003609,P01236,P28482,PRL_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003610,P41159,P28482,LEP_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003611,P28482,P41159,MK01_HUMAN,LEP_HUMAN,"OmniPath,Wang",
CPI-003612,P28482,P19634,MK01_HUMAN,SL9A1_HUMAN,"Adhesome,KEGG,OmniPath,Signor","PMID: 15253667,PMID: 17209041"
CPI-003613,Q13444,P28482,ADA15_HUMAN,MK01_HUMAN,"OmniPath,SignaLink3",PMID: 18296648
CPI-003614,P46940,P28482,IQGA1_HUMAN,MK01_HUMAN,"KEGG,OmniPath,SignaLink3,Wang","PMID: ,PMID: 15655247"
CPI-003615,P28482,P46940,MK01_HUMAN,IQGA1_HUMAN,"KEGG,OmniPath,Wang",
CPI-003616,P28482,Q14161,MK01_HUMAN,GIT2_HUMAN,"OmniPath,Wang",
CPI-003617,P61812,P28482,TGFB2_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003618,P28482,P61812,MK01_HUMAN,TGFB2_HUMAN,"OmniPath,Wang",
CPI-003619,P28482,Q9HCT0,MK01_HUMAN,FGF22_HUMAN,"OmniPath,Wang",
CPI-003620,Q9HCT0,P28482,FGF22_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003621,P18827,P28482,SDC1_HUMAN,MK01_HUMAN,"KEGG,OmniPath,Wang",
CPI-003622,P28482,P18827,MK01_HUMAN,SDC1_HUMAN,"KEGG,OmniPath,Wang",
CPI-003623,P09769,P28482,FGR_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003624,P28482,P09769,MK01_HUMAN,FGR_HUMAN,"OmniPath,Wang",PMID: 
CPI-003625,P28482,Q9NRF2,MK01_HUMAN,SH2B1_HUMAN,"Adhesome,OmniPath",PMID: 10473609
CPI-003626,P28482,P31371,MK01_HUMAN,FGF9_HUMAN,"OmniPath,Wang",
CPI-003627,P31371,P28482,FGF9_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003628,P28482,P14921,MK01_HUMAN,ETS1_HUMAN,"KEGG,OmniPath,Wang",PMID: 
CPI-003629,P28482,P05230,MK01_HUMAN,FGF1_HUMAN,"OmniPath,Wang",PMID: 
CPI-003630,Q9Y624,P28482,JAM1_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003631,P28482,Q9Y624,MK01_HUMAN,JAM1_HUMAN,"OmniPath,Wang",
CPI-003632,P18564,P28482,ITB6_HUMAN,MK01_HUMAN,"OmniPath,SignaLink3",PMID: 11857080
CPI-003633,P28482,P18564,MK01_HUMAN,ITB6_HUMAN,"Adhesome,OmniPath,SignaLink3,Wang",PMID: 11857080
CPI-003634,P36894,P28482,BMR1A_HUMAN,MK01_HUMAN,"KEGG,OmniPath",
CPI-003635,P28482,P36894,MK01_HUMAN,BMR1A_HUMAN,"KEGG,OmniPath",
CPI-003636,P28482,P08620,MK01_HUMAN,FGF4_HUMAN,"OmniPath,Wang",
CPI-003637,P28482,P05023,MK01_HUMAN,AT1A1_HUMAN,"OmniPath,SignaLink3",PMID: 15069082
CPI-003638,P28482,Q07021,MK01_HUMAN,C1QBP_HUMAN,"OmniPath,SignaLink3",PMID: 11866440
CPI-003639,Q8WWQ8,P28482,STAB2_HUMAN,MK01_HUMAN,"OmniPath,SignaLink3",PMID: 18387958
CPI-003640,P36896,P28482,ACV1B_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003641,P28482,P36896,MK01_HUMAN,ACV1B_HUMAN,"OmniPath,Wang",
CPI-003642,Q8IWL2,P28482,SFTA1_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003643,Q15389,P28482,ANGP1_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003644,P28482,Q15389,MK01_HUMAN,ANGP1_HUMAN,"OmniPath,Wang",
CPI-003645,P28482,Q14005,MK01_HUMAN,IL16_HUMAN,"OmniPath,Signor",PMID: 14768064
CPI-003646,P21781,P28482,FGF7_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003647,P28482,P21781,MK01_HUMAN,FGF7_HUMAN,"OmniPath,Wang",
CPI-003648,P13385,P28482,TDGF1_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003649,P28482,P13385,MK01_HUMAN,TDGF1_HUMAN,"OmniPath,Wang",
CPI-003650,O14511,P28482,NRG2_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003651,P28482,Q9NPF7,MK01_HUMAN,IL23A_HUMAN,"KEGG,OmniPath,Wang",PMID: 
CPI-003652,P22607,P28482,FGFR3_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003653,P28482,P22607,MK01_HUMAN,FGFR3_HUMAN,"OmniPath,Wang",PMID: 
CPI-003654,P28482,P05362,MK01_HUMAN,ICAM1_HUMAN,"OmniPath,Wang",PMID: 
CPI-003655,P28482,Q9UKW4,MK01_HUMAN,VAV3_HUMAN,"OmniPath,Wang",PMID: 
CPI-003656,P21802,P28482,FGFR2_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003657,P28482,P21802,MK01_HUMAN,FGFR2_HUMAN,"OmniPath,Wang",PMID: 
CPI-003658,P28482,P62937,MK01_HUMAN,PPIA_HUMAN,"OmniPath,Wang",PMID: 
CPI-003659,P28482,Q92974,MK01_HUMAN,ARHG2_HUMAN,"Adhesome,OmniPath,Signor","PMID: 18211802,PMID: 19261619"
CPI-003660,P17813,P28482,EGLN_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003661,P28482,P17813,MK01_HUMAN,EGLN_HUMAN,"OmniPath,Wang",
CPI-003662,P49913,P28482,CAMP_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003663,P28482,P0DJI8,MK01_HUMAN,SAA1_HUMAN,"OmniPath,Wang",PMID: 
CPI-003664,P28482,P07602,MK01_HUMAN,SAP_HUMAN,"KEGG,OmniPath",
CPI-003665,P01303,P28482,NPY_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003666,Q16663,P28482,CCL15_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003667,P28482,Q16663,MK01_HUMAN,CCL15_HUMAN,"OmniPath,Wang",
CPI-003668,P18509,P28482,PACA_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003669,P28482,P18509,MK01_HUMAN,PACA_HUMAN,"OmniPath,Wang",
CPI-003670,P01282,P28482,VIP_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003671,P81277,P28482,PRRP_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003672,P06307,P28482,CCKN_HUMAN,MK01_HUMAN,"KEGG,OmniPath,Wang",
CPI-003673,P28482,P06307,MK01_HUMAN,CCKN_HUMAN,"KEGG,OmniPath,Wang",
CPI-003674,Q9UBU3,P28482,GHRL_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003675,P28482,Q9UBU3,MK01_HUMAN,GHRL_HUMAN,"OmniPath,Wang",
CPI-003676,P06850,P28482,CRF_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003677,P28482,P32004,MK01_HUMAN,L1CAM_HUMAN,"OmniPath,Wang",PMID: 
CPI-003678,P28482,Q9Y2X7,MK01_HUMAN,GIT1_HUMAN,"Adhesome,OmniPath,Wang",PMID: 15923189
CPI-003679,P28482,P02686,MK01_HUMAN,MBP_HUMAN,"OmniPath,Signor","PMID: 12760422,PMID: 16401070,PMID: 1939237"
CPI-003680,P19086,P28482,GNAZ_HUMAN,MK01_HUMAN,"OmniPath,Wang",
CPI-003681,P28482,P19086,MK01_HUMAN,GNAZ_HUMAN,"OmniPath,Wang",
