gene_name,uniprot,hgnc_symbol,ensembl
GDF6,Q6KF10,GDF6,ENSG00000156466
CYB5R3,P00387,CYB5R3,ENSG00000100243
KIR3DS1,Q14943,KIR3DS1,ENSG00000275037
LCT,P09848,LCT,ENSG00000115850
CCL2,P13500,CCL2,ENSG00000108691
ACTN2,P35609,ACTN2,ENSG00000077522
DEFB104A,Q8WTQ1,DEFB104A,ENSG00000177023
LGALS7,P47929,LGALS7,ENSG00000205076
RIPK1,Q13546,RIPK1,ENSG00000137275
IGF1,P05019,IGF1,ENSG00000017427
AVP,P01185,AVP,ENSG00000101200
CCR4,P51679,CCR4,ENSG00000183813
AGAP2,Q99490,AGAP2,ENSG00000135439
LAIR1,Q6GTX8,LAIR1,ENSG00000276163
MMP20,O60882,MMP20,ENSG00000137674
PAPPA,Q13219,PAPPA,ENSG00000182752
CASP3,P42574,CASP3,ENSG00000164305
RNF5,Q99942,RNF5,ENSG00000228405
CDKN2A,P42771,CDKN2A,ENSG00000147889
IFNW1,P05000,IFNW1,ENSG00000177047
NEU1,Q99519,NEU1,ENSG00000227315
GUCY2C,P25092,GUCY2C,ENSG00000070019
KLRB1,Q12918,KLRB1,ENSG00000111796
IFNA5,P01569,IFNA5,ENSG00000147873
EBI3,Q14213,EBI3,ENSG00000105246
NFASC,O94856,NFASC,ENSG00000163531
GHRHR,Q02643,GHRHR,ENSG00000106128
ADCY3,O60266,ADCY3,ENSG00000138031
CLEC4M,Q9H2X3,CLEC4M,ENSG00000104938
NRG1,Q02297,NRG1,ENSG00000157168
HLA-B,P30462,HLA-B,ENSG00000223532
CMTM3,Q96MX0,CMTM3,ENSG00000140931
RPN2,P04844,RPN2,ENSG00000118705
ATP2A2,P16615,ATP2A2,ENSG00000174437
DEFB4B,O15263,DEFB4B,ENSG00000177257
ICAM5,Q9UMF0,ICAM5,ENSG00000105376
DLG1,Q12959,DLG1,ENSG00000075711
CFL1,P23528,CFL1,ENSG00000172757
F9,P00740,F9,ENSG00000101981
KIR3DL2,P43630,KIR3DL2,ENSG00000283975
TUBB,P07437,TUBB,ENSG00000229684
PLAU,P00749,PLAU,ENSG00000122861
SIGIRR,Q6IA17,SIGIRR,ENSG00000185187
IGSF8,Q969P0,IGSF8,ENSG00000162729
SMC3,Q9UQE7,SMC3,ENSG00000108055
OXT,P01178,OXT,ENSG00000101405
HEXIM1,O94992,HEXIM1,ENSG00000186834
ADIPOR2,Q86V24,ADIPOR2,ENSG00000285070
IL17RD,Q8NFM7,IL17RD,ENSG00000144730
CLDN23,Q96B33,CLDN23,ENSG00000253958
KITLG,P21583,KITLG,ENSG00000049130
IL18R1,Q13478,IL18R1,ENSG00000115604
PLXNB3,Q9ULL4,PLXNB3,ENSG00000198753
IL10RB,Q08334,IL10RB,ENSG00000243646
KIR2DL4,Q99706,KIR2DL4,ENSG00000284460
KDR,P35968,KDR,ENSG00000128052
CDH1,P12830,CDH1,ENSG00000039068
EPCAM,P16422,EPCAM,ENSG00000119888
OPRM1,P35372,OPRM1,ENSG00000112038
ALDH1A2,O94788,ALDH1A2,ENSG00000128918
LIPF,P07098,LIPF,ENSG00000182333
PODXL,O00592,PODXL,ENSG00000128567
TNFSF15,O95150,TNFSF15,ENSG00000181634
ASAH1,Q13510,ASAH1,ENSG00000104763
LRRC7,Q96NW7,LRRC7,ENSG00000033122
DUSP10,Q9Y6W6,DUSP10,ENSG00000143507
ROBO1,Q9Y6N7,ROBO1,ENSG00000169855
FGD1,P98174,FGD1,ENSG00000102302
HLA-A,P16188,HLA-A,ENSG00000206503
RELL1,Q8IUW5,RELL1,ENSG00000181826
RNASE1,P07998,RNASE1,ENSG00000129538
CACNA1D,Q01668,CACNA1D,ENSG00000157388
KLK3,P07288,KLK3,ENSG00000142515
SELP,P16109,SELP,ENSG00000174175
ADAMTS1,Q9UHI8,ADAMTS1,ENSG00000154734
PLOD1,Q02809,PLOD1,ENSG00000083444
AOC3,Q16853,AOC3,ENSG00000131471
FCGR2A,P12318,FCGR2A,ENSG00000143226
CACNG2,Q9Y698,CACNG2,ENSG00000166862
CCL28,Q9NRJ3,CCL28,ENSG00000151882
FGA,P02671,FGA,ENSG00000171560
CXCR4,P61073,CXCR4,ENSG00000121966
CCN3,P48745,CCN3,ENSG00000136999
IL2RG,P31785,IL2RG,ENSG00000147168
ACKR4,Q9NPB9,ACKR4,ENSG00000129048
FZD3,Q9NPG1,FZD3,ENSG00000104290
KIR2DS2,P43631,KIR2DS2,ENSG00000275737
SSTR1,P30872,SSTR1,ENSG00000139874
GREM1,O60565,GREM1,ENSG00000282046
AMFR,Q9UKV5,AMFR,ENSG00000159461
HLA-B,P18464,HLA-B,ENSG00000206450
ANGPTL2,Q9UKU9,ANGPTL2,ENSG00000136859
ANXA1,P04083,ANXA1,ENSG00000135046
VAV2,P52735,VAV2,ENSG00000160293
SLC9A1,P19634,SLC9A1,ENSG00000090020
HLA-A,P05534,HLA-A,ENSG00000229215
DUSP3,P51452,DUSP3,ENSG00000108861
PTK2B,Q14289,PTK2B,ENSG00000120899
AMHR2,Q16671,AMHR2,ENSG00000135409
PTPRJ,Q12913,PTPRJ,ENSG00000149177
KIR2DL1,P43626,KIR2DL1,ENSG00000278495
HSP90AB1,P08238,HSP90AB1,ENSG00000096384
CLIC1,O00299,CLIC1,ENSG00000223639
PLXNA1,Q9UIW2,PLXNA1,ENSG00000114554
NECTIN1,Q15223,NECTIN1,ENSG00000110400
UBC,P0CG48,UBC,ENSG00000150991
NUDT16L1,Q9BRJ7,NUDT16L1,ENSG00000168101
YBX3,P16989,YBX3,ENSG00000060138
ADORA3,P0DMS8,ADORA3,ENSG00000282608
PRLH,P81277,PRLH,ENSG00000071677
NMB,P08949,NMB,ENSG00000197696
SEMA4D,Q92854,SEMA4D,ENSG00000187764
IL20RB,Q6UXL0,IL20RB,ENSG00000174564
ANTXR1,Q9H6X2,ANTXR1,ENSG00000169604
DCAF1,Q9Y4B6,DCAF1,ENSG00000145041
RELT,Q969Z4,RELT,ENSG00000054967
LRP6,O75581,LRP6,ENSG00000070018
DLL1,O00548,DLL1,ENSG00000275555
CLDN1,O95832,CLDN1,ENSG00000163347
GFRA3,O60609,GFRA3,ENSG00000146013
CTSG,P08311,CTSG,ENSG00000100448
DLL4,Q9NR61,DLL4,ENSG00000128917
TNFSF13,O75888,TNFSF13,ENSG00000161955
ITGAD,Q13349,ITGAD,ENSG00000156886
SRGAP2,O75044,SRGAP2,ENSG00000266028
HLA-C,P30499,HLA-C,ENSG00000237022
PIP5K1A,Q99755,PIP5K1A,ENSG00000143398
TNFRSF1B,P20333,TNFRSF1B,ENSG00000028137
PDE5A,O76074,PDE5A,ENSG00000138735
IL10,P22301,IL10,ENSG00000136634
ANG,P03950,ANG,ENSG00000214274
SRCIN1,Q9C0H9,SRCIN1,ENSG00000277363
KIR2DS2,P43631,KIR2DS2,ENSG00000275253
LBR,Q14739,LBR,ENSG00000143815
CD80,P33681,CD80,ENSG00000121594
KIR2DS4,P43632,KIR2DS4,ENSG00000283870
HM13,Q8TCT9,HM13,ENSG00000101294
LILRA3,Q8N6C8,LILRA3,ENSG00000275841
SNCA,P37840,SNCA,ENSG00000145335
NTN1,O95631,NTN1,ENSG00000065320
BTC,P35070,BTC,ENSG00000174808
INSR,P06213,INSR,ENSG00000171105
GIPR,P48546,GIPR,ENSG00000010310
NEU1,Q99519,NEU1,ENSG00000227129
PLA2G2C,Q5R387,PLA2G2C,ENSG00000187980
ADCYAP1,P18509,ADCYAP1,ENSG00000141433
SEMA7A,O75326,SEMA7A,ENSG00000138623
LHCGR,P22888,LHCGR,ENSG00000138039
CAMK1D,Q8IU85,CAMK1D,ENSG00000183049
GZMA,P12544,GZMA,ENSG00000145649
PSMB1,P20618,PSMB1,ENSG00000008018
DUSP18,Q8NEJ0,DUSP18,ENSG00000167065
ROS1,P08922,ROS1,ENSG00000047936
KIR2DS1,Q14954,KIR2DS1,ENSG00000278304
CCL23,P55773,CCL23,ENSG00000276114
SNX9,Q9Y5X1,SNX9,ENSG00000130340
CALM3,P0DP25,CALM3,ENSG00000160014
TBX21,Q9UL17,TBX21,ENSG00000073861
SIGLEC9,Q9Y336,SIGLEC9,ENSG00000129450
CORO2A,Q92828,CORO2A,ENSG00000106789
MUC3A,Q02505,MUC3A,ENSG00000169894
HLA-DQB2,P05538,HLA-DQB2,ENSG00000229493
KIR2DS3,Q14952,KIR2DS3,ENSG00000277163
MEN1,O00255,MEN1,ENSG00000133895
HMOX1,P09601,HMOX1,ENSG00000100292
DLG2,Q15700,DLG2,ENSG00000150672
UCN3,Q969E3,UCN3,ENSG00000178473
RHO,P08100,RHO,ENSG00000163914
IL3RA,P26951,IL3RA,ENSG00000185291
KCNK2,O95069,KCNK2,ENSG00000082482
SCRIB,Q14160,SCRIB,ENSG00000180900
CCL18,P55774,CCL18,ENSG00000275385
PLA2G10,O15496,PLA2G10,ENSG00000276870
MMP24,Q9Y5R2,MMP24,ENSG00000125966
C2,P06681,C2,ENSG00000235696
DBNL,Q9UJU6,DBNL,ENSG00000136279
NLGN1,Q8N2Q7,NLGN1,ENSG00000169760
MARVELD2,Q8N4S9,MARVELD2,ENSG00000274671
COL11A2,P13942,COL11A2,ENSG00000206290
PRTN3,P24158,PRTN3,ENSG00000277804
LGALS1,P09382,LGALS1,ENSG00000100097
IGFBP4,P22692,IGFBP4,ENSG00000141753
NCSTN,Q92542,NCSTN,ENSG00000162736
IL2RA,P01589,IL2RA,ENSG00000134460
FPR2,P25090,FPR2,ENSG00000171049
MERTK,Q12866,MERTK,ENSG00000153208
HLA-E,P13747,HLA-E,ENSG00000204592
MS4A4A,Q96JQ5,MS4A4A,ENSG00000110079
PTPN2,P17706,PTPN2,ENSG00000175354
ADCY9,O60503,ADCY9,ENSG00000162104
CHRM4,P08173,CHRM4,ENSG00000180720
TRPM4,Q8TD43,TRPM4,ENSG00000130529
PTN,P21246,PTN,ENSG00000105894
POMC,P01189,POMC,ENSG00000115138
NCR2,O95944,NCR2,ENSG00000096264
ANTXR2,P58335,ANTXR2,ENSG00000163297
TNXB,P22105,TNXB,ENSG00000236236
MICB,Q29980,MICB,ENSG00000238289
C5AR2,Q9P296,C5AR2,ENSG00000134830
KIR2DL5A,Q8N109,KIR2DL5A,ENSG00000274143
COL6A3,P12111,COL6A3,ENSG00000163359
CXCL3,P19876,CXCL3,ENSG00000163734
MAP2K2,P36507,MAP2K2,ENSG00000126934
F13B,P05160,F13B,ENSG00000143278
MUC20,Q8N307,MUC20,ENSG00000276583
HLA-B,P30491,HLA-B,ENSG00000206450
GP1BA,P07359,GP1BA,ENSG00000185245
CDC42,P60953,CDC42,ENSG00000070831
ASAP3,Q8TDY4,ASAP3,ENSG00000282854
PDCD1LG2,Q9BQ51,PDCD1LG2,ENSG00000197646
ACTC1,P68032,ACTC1,ENSG00000159251
YARS,P54577,YARS,ENSG00000134684
WNT3A,P56704,WNT3A,ENSG00000154342
GAB1,Q13480,GAB1,ENSG00000109458
ERP29,P30040,ERP29,ENSG00000089248
CD3E,P07766,CD3E,ENSG00000198851
GPHA2,Q96T91,GPHA2,ENSG00000149735
HSPA5,P11021,HSPA5,ENSG00000044574
MSR1,P21757,MSR1,ENSG00000038945
CSH2,P0DML3,CSH2,ENSG00000213218
LY96,Q9Y6Y9,LY96,ENSG00000154589
HLA-C,Q9TNN7,HLA-C,ENSG00000206435
ADAM18,Q9Y3Q7,ADAM18,ENSG00000278548
ADAM17,P78536,ADAM17,ENSG00000151694
TGFBR3,Q03167,TGFBR3,ENSG00000069702
WASL,O00401,WASL,ENSG00000106299
ECSIT,Q9BQ95,ECSIT,ENSG00000130159
HSPA1A,P0DMV8,HSPA1A,ENSG00000234475
A2M,P01023,A2M,ENSG00000175899
ANGPT4,Q9Y264,ANGPT4,ENSG00000101280
KCNQ3,O43525,KCNQ3,ENSG00000184156
ROR2,Q01974,ROR2,ENSG00000169071
CLCF1,Q9UBD9,CLCF1,ENSG00000175505
CLU,P10909,CLU,ENSG00000120885
SERPINE2,P07093,SERPINE2,ENSG00000135919
KIR3DL2,P43630,KIR3DL2,ENSG00000274722
PRKAG3,Q9UGI9,PRKAG3,ENSG00000115592
CD27,P26842,CD27,ENSG00000139193
ADAM15,Q13444,ADAM15,ENSG00000143537
LRP5,O75197,LRP5,ENSG00000162337
DHH,O43323,DHH,ENSG00000139549
EPO,P01588,EPO,ENSG00000130427
WNT3,P56703,WNT3,ENSG00000277626
C4A,P0C0L4,C4A,ENSG00000206340
TNFRSF10D,Q9UBN6,TNFRSF10D,ENSG00000173530
FGFRL1,Q8N441,FGFRL1,ENSG00000127418
FGF10,O15520,FGF10,ENSG00000070193
ACACB,O00763,ACACB,ENSG00000076555
FZD7,O75084,FZD7,ENSG00000155760
NOX4,Q9NPH5,NOX4,ENSG00000086991
TNFRSF4,P43489,TNFRSF4,ENSG00000186827
XRCC6,P12956,XRCC6,ENSG00000196419
HLA-DMB,P28068,HLA-DMB,ENSG00000242386
HLA-DRB1,P13760,HLA-DRB1,ENSG00000228080
CD63,P08962,CD63,ENSG00000135404
CX3CR1,P49238,CX3CR1,ENSG00000168329
SOCS1,O15524,SOCS1,ENSG00000185338
TFRC,P02786,TFRC,ENSG00000072274
BAD,Q92934,BAD,ENSG00000002330
IL1B,P01584,IL1B,ENSG00000125538
HLA-B,P30460,HLA-B,ENSG00000223532
CCL23,P55773,CCL23,ENSG00000274736
GABRA6,Q16445,GABRA6,ENSG00000145863
HLA-A,P30453,HLA-A,ENSG00000206505
IL1RAPL1,Q9NZN1,IL1RAPL1,ENSG00000169306
CDH10,Q9Y6N8,CDH10,ENSG00000040731
SMPX,Q9UHP9,SMPX,ENSG00000091482
SERPINA6,P08185,SERPINA6,ENSG00000170099
CDH13,P55290,CDH13,ENSG00000140945
PSEN2,P49810,PSEN2,ENSG00000143801
TGFBR1,P36897,TGFBR1,ENSG00000106799
COL6A2,P12110,COL6A2,ENSG00000142173
EFNB3,Q15768,EFNB3,ENSG00000108947
EFEMP1,Q12805,EFEMP1,ENSG00000115380
TFF1,P04155,TFF1,ENSG00000160182
FCN2,Q15485,FCN2,ENSG00000160339
CSTA,P01040,CSTA,ENSG00000121552
ZBTB7B,O15156,ZBTB7B,ENSG00000160685
CXCL16,Q9H2A7,CXCL16,ENSG00000161921
LRRC4,Q9HBW1,LRRC4,ENSG00000128594
PSMD1,Q99460,PSMD1,ENSG00000173692
NLGN3,Q9NZ94,NLGN3,ENSG00000196338
SPINK9,Q5DT21,SPINK9,ENSG00000204909
CLDN20,P56880,CLDN20,ENSG00000171217
SMAD6,O43541,SMAD6,ENSG00000137834
CCL16,O15467,CCL16,ENSG00000275152
RECK,O95980,RECK,ENSG00000122707
KDM1A,O60341,KDM1A,ENSG00000004487
BMPR1B,O00238,BMPR1B,ENSG00000138696
LIPH,Q8WWY8,LIPH,ENSG00000163898
AGTR1,P30556,AGTR1,ENSG00000144891
CALCR,P30988,CALCR,ENSG00000004948
KLRF2,D3W0D1,KLRF2,ENSG00000256797
KIR3DS1,Q14943,KIR3DS1,ENSG00000275608
GPC3,P51654,GPC3,ENSG00000147257
HAX1,O00165,HAX1,ENSG00000143575
CCL26,Q9Y258,CCL26,ENSG00000006606
FLT3LG,P49771,FLT3LG,ENSG00000090554
CCL3L1,P16619,CCL3L1,ENSG00000276085
F11,P03951,F11,ENSG00000088926
SFTPA2,Q8IWL1,SFTPA2,ENSG00000185303
ENPP1,P22413,ENPP1,ENSG00000197594
KIR2DL4,Q99706,KIR2DL4,ENSG00000284509
RHBDL2,Q9NX52,RHBDL2,ENSG00000158315
ALPL,P05186,ALPL,ENSG00000162551
FTH1,P02794,FTH1,ENSG00000167996
CACNA1C,Q13936,CACNA1C,ENSG00000151067
BACE2,Q9Y5Z0,BACE2,ENSG00000182240
HPSE,Q9Y251,HPSE,ENSG00000173083
FAT4,Q6V0I7,FAT4,ENSG00000196159
NLGN2,Q8NFZ4,NLGN2,ENSG00000283859
ELANE,P08246,ELANE,ENSG00000197561
COL1A2,P08123,COL1A2,ENSG00000164692
HTR2C,P28335,HTR2C,ENSG00000147246
CAP1,Q01518,CAP1,ENSG00000131236
CDK5R1,Q15078,CDK5R1,ENSG00000176749
CDH5,P33151,CDH5,ENSG00000179776
CDH4,P55283,CDH4,ENSG00000179242
IL19,Q9UHD0,IL19,ENSG00000142224
HLA-A,P30459,HLA-A,ENSG00000223980
CTSL,P07711,CTSL,ENSG00000135047
OAS1,P00973,OAS1,ENSG00000089127
SCGB3A2,Q96PL1,SCGB3A2,ENSG00000164265
CGN,Q9P2M7,CGN,ENSG00000143375
KIR3DL1,P43629,KIR3DL1,ENSG00000284342
LGALS7,P47929,LGALS7,ENSG00000282902
C4B_2,P0C0L5,C4B_2,ENSG00000224389
F11R,Q9Y624,F11R,ENSG00000158769
SERPINB2,P05120,SERPINB2,ENSG00000197632
CTSC,P53634,CTSC,ENSG00000109861
GJB6,O95452,GJB6,ENSG00000121742
RELA,Q04206,RELA,ENSG00000173039
DDR2,Q16832,DDR2,ENSG00000162733
ACTG1,P63261,ACTG1,ENSG00000184009
PAK4,O96013,PAK4,ENSG00000130669
VLDLR,P98155,VLDLR,ENSG00000147852
TYRP1,P17643,TYRP1,ENSG00000107165
ORAI1,Q96D31,ORAI1,ENSG00000276045
TLR7,Q9NYK1,TLR7,ENSG00000196664
ADAM9,Q13443,ADAM9,ENSG00000168615
PTAFR,P25105,PTAFR,ENSG00000169403
FGF14,Q92915,FGF14,ENSG00000102466
CAPN2,P17655,CAPN2,ENSG00000162909
PTPRO,Q16827,PTPRO,ENSG00000151490
FGB,P02675,FGB,ENSG00000171564
INSL5,Q9Y5Q6,INSL5,ENSG00000172410
HLA-B,P30485,HLA-B,ENSG00000224608
MARVELD2,Q8N4S9,MARVELD2,ENSG00000152939
KIR2DS1,Q14954,KIR2DS1,ENSG00000275421
PARD3,Q8TEW0,PARD3,ENSG00000148498
TJP2,Q9UDY2,TJP2,ENSG00000119139
CRLF2,Q9HC73,CRLF2,ENSG00000205755
COMP,P49747,COMP,ENSG00000105664
CD22,P20273,CD22,ENSG00000012124
SEMA6A,Q9H2E6,SEMA6A,ENSG00000092421
CTSH,P09668,CTSH,ENSG00000103811
HLA-DRB1,Q30167,HLA-DRB1,ENSG00000228080
ICOS,Q9Y6W8,ICOS,ENSG00000163600
SORL1,Q92673,SORL1,ENSG00000137642
C2,P06681,C2,ENSG00000231543
CCR1,P32246,CCR1,ENSG00000163823
SLAMF1,Q13291,SLAMF1,ENSG00000117090
PDE4C,Q08493,PDE4C,ENSG00000105650
ELANE,P08246,ELANE,ENSG00000277571
PPP1R12B,O60237,PPP1R12B,ENSG00000077157
DDR1,Q08345,DDR1,ENSG00000234078
ADAMTS13,Q76LX8,ADAMTS13,ENSG00000160323
HBEGF,Q99075,HBEGF,ENSG00000113070
KEL,P23276,KEL,ENSG00000276615
CXCL9,Q07325,CXCL9,ENSG00000138755
GALR2,O43603,GALR2,ENSG00000182687
C4B_2,P0C0L5,C4B_2,ENSG00000228454
RTN4,Q9NQC3,RTN4,ENSG00000115310
CRKL,P46109,CRKL,ENSG00000099942
KIR2DL2,P43627,KIR2DL2,ENSG00000283716
CCL15,Q16663,CCL15,ENSG00000275528
DEFB103B,P81534,DEFB103B,ENSG00000177243
KIR2DS2,P43631,KIR2DS2,ENSG00000278300
IDO1,P14902,IDO1,ENSG00000131203
CCL3,P10147,CCL3,ENSG00000274221
FPR1,P21462,FPR1,ENSG00000171051
PYCARD,Q9ULZ3,PYCARD,ENSG00000103490
MGRN1,O60291,MGRN1,ENSG00000102858
GLP1R,P43220,GLP1R,ENSG00000112164
LNPEP,Q9UIQ6,LNPEP,ENSG00000113441
TFR2,Q9UP52,TFR2,ENSG00000106327
UBB,P0CG47,UBB,ENSG00000170315
GABRA1,P14867,GABRA1,ENSG00000022355
EPGN,Q6UW88,EPGN,ENSG00000182585
PSMD6,Q15008,PSMD6,ENSG00000163636
HLA-B,P30483,HLA-B,ENSG00000232126
TUBB,P07437,TUBB,ENSG00000232575
HLA-DRB1,Q5Y7A7,HLA-DRB1,ENSG00000206306
CASR,P41180,CASR,ENSG00000036828
WISP3,O95389,WISP3,ENSG00000112761
EFL1,Q7Z2Z2,EFL1,ENSG00000140598
HLA-DRA,P01903,HLA-DRA,ENSG00000204287
SEMA4G,Q9NTN9,SEMA4G,ENSG00000095539
AQP2,P41181,AQP2,ENSG00000167580
CLEC2D,Q9UHP7,CLEC2D,ENSG00000069493
ECE1,P42892,ECE1,ENSG00000117298
NID2,Q14112,NID2,ENSG00000087303
GRIN2A,Q12879,GRIN2A,ENSG00000183454
BMP6,P22004,BMP6,ENSG00000153162
RBP3,P10745,RBP3,ENSG00000265203
TREM2,Q9NZC2,TREM2,ENSG00000095970
HLA-DPA1,P20036,HLA-DPA1,ENSG00000206291
ACP6,Q9NPH0,ACP6,ENSG00000162836
PDPN,Q86YL7,PDPN,ENSG00000162493
MFNG,O00587,MFNG,ENSG00000100060
CD79A,P11912,CD79A,ENSG00000105369
CTNNA3,Q9UI47,CTNNA3,ENSG00000183230
EPHA6,Q9UF33,EPHA6,ENSG00000080224
NGFR,P08138,NGFR,ENSG00000064300
HLA-A,P30455,HLA-A,ENSG00000229215
HLA-A,P18462,HLA-A,ENSG00000206505
KIR2DL4,Q99706,KIR2DL4,ENSG00000274609
PRSS2,P07478,PRSS2,ENSG00000275896
AGT,P01019,AGT,ENSG00000135744
CDC14A,Q9UNH5,CDC14A,ENSG00000079335
EPHA4,P54764,EPHA4,ENSG00000116106
VEGFA,P15692,VEGFA,ENSG00000112715
CD24,P25063,CD24,ENSG00000272398
HLA-A,P01891,HLA-A,ENSG00000235657
IL33,O95760,IL33,ENSG00000137033
RSPO2,Q6UXX9,RSPO2,ENSG00000147655
P2RY6,Q15077,P2RY6,ENSG00000171631
CD93,Q9NPY3,CD93,ENSG00000125810
FZD10,Q9ULW2,FZD10,ENSG00000111432
PRKAG2,Q9UGJ0,PRKAG2,ENSG00000106617
SEMA3G,Q9NS98,SEMA3G,ENSG00000010319
KIR2DS2,P43631,KIR2DS2,ENSG00000277885
NF1,P21359,NF1,ENSG00000196712
HLA-G,P17693,HLA-G,ENSG00000235680
NF2,P35240,NF2,ENSG00000186575
DAB1,O75553,DAB1,ENSG00000173406
KIR2DL3,P43628,KIR2DL3,ENSG00000276459
TIMP4,Q99727,TIMP4,ENSG00000157150
IL24,Q13007,IL24,ENSG00000162892
CD4,P01730,CD4,ENSG00000010610
INSRR,P14616,INSRR,ENSG00000027644
HLA-A,Q09160,HLA-A,ENSG00000224320
PTPRG,P23470,PTPRG,ENSG00000144724
FAP,Q12884,FAP,ENSG00000078098
ACVR2A,P27037,ACVR2A,ENSG00000121989
CAMP,P49913,CAMP,ENSG00000164047
TYR,P14679,TYR,ENSG00000077498
HLA-B,Q95365,HLA-B,ENSG00000223532
CLIC1,O00299,CLIC1,ENSG00000213719
ERAP1,Q9NZ08,ERAP1,ENSG00000164307
FGF1,P05230,FGF1,ENSG00000113578
MRC1,P22897,MRC1,ENSG00000260314
LPAR2,Q9HBW0,LPAR2,ENSG00000064547
CST6,Q15828,CST6,ENSG00000175315
SPARC,P09486,SPARC,ENSG00000113140
FGFR4,P22455,FGFR4,ENSG00000160867
HLA-A,P13746,HLA-A,ENSG00000206503
FGL1,Q08830,FGL1,ENSG00000104760
HAVCR2,Q8TDQ0,HAVCR2,ENSG00000135077
MPP5,Q8N3R9,MPP5,ENSG00000072415
FPR3,P25089,FPR3,ENSG00000187474
CD40LG,P29965,CD40LG,ENSG00000102245
IL21,Q9HBE4,IL21,ENSG00000138684
AGER,Q15109,AGER,ENSG00000204305
CLDN11,O75508,CLDN11,ENSG00000013297
HSPA1B,P0DMV9,HSPA1B,ENSG00000204388
KLRC2,P26717,KLRC2,ENSG00000205809
ITGAL,P20701,ITGAL,ENSG00000005844
LCN2,P80188,LCN2,ENSG00000148346
LILRB1,Q8NHL6,LILRB1,ENSG00000274669
SMO,Q99835,SMO,ENSG00000128602
HLA-DPB1,P04440,HLA-DPB1,ENSG00000226826
NMUR1,Q9HB89,NMUR1,ENSG00000171596
RPS3,P23396,RPS3,ENSG00000149273
SCGB3A1,Q96QR1,SCGB3A1,ENSG00000161055
FLT4,P35916,FLT4,ENSG00000037280
KIR2DS2,P43631,KIR2DS2,ENSG00000278152
HHIP,Q96QV1,HHIP,ENSG00000164161
KTN1,Q86UP2,KTN1,ENSG00000126777
FGF5,P12034,FGF5,ENSG00000138675
RLN2,P04090,RLN2,ENSG00000107014
RETN,Q9HD89,RETN,ENSG00000104918
MUC1,P15941,MUC1,ENSG00000185499
TGFBI,Q15582,TGFBI,ENSG00000120708
SORBS1,Q9BX66,SORBS1,ENSG00000095637
SERPINB9,P50453,SERPINB9,ENSG00000170542
CSNK2B,P67870,CSNK2B,ENSG00000230700
ID1,P41134,ID1,ENSG00000125968
NT5E,P21589,NT5E,ENSG00000135318
NEU1,Q99519,NEU1,ENSG00000234846
SLC6A3,Q01959,SLC6A3,ENSG00000142319
COLEC12,Q5KU26,COLEC12,ENSG00000158270
S1PR4,O95977,S1PR4,ENSG00000125910
HLA-B,Q31612,HLA-B,ENSG00000234745
CDH3,P22223,CDH3,ENSG00000062038
ALCAM,Q13740,ALCAM,ENSG00000170017
ARHGEF12,Q9NZN5,ARHGEF12,ENSG00000196914
LILRA3,Q8N6C8,LILRA3,ENSG00000278046
SPTLC1,O15269,SPTLC1,ENSG00000090054
PIK3CG,P48736,PIK3CG,ENSG00000105851
PPIB,P23284,PPIB,ENSG00000166794
FLOT1,O75955,FLOT1,ENSG00000206379
PROCR,Q9UNN8,PROCR,ENSG00000101000
BAMBI,Q13145,BAMBI,ENSG00000095739
TUBB,P07437,TUBB,ENSG00000235067
ALOX5,P09917,ALOX5,ENSG00000275565
NRXN3,Q9HDB5,NRXN3,ENSG00000021645
HLA-DPB1,P04440,HLA-DPB1,ENSG00000223865
SFTPA1,Q8IWL2,SFTPA1,ENSG00000122852
NBN,O60934,NBN,ENSG00000104320
LEFTY1,O75610,LEFTY1,ENSG00000243709
STK17A,Q9UEE5,STK17A,ENSG00000164543
FGF9,P31371,FGF9,ENSG00000102678
PRKCI,P41743,PRKCI,ENSG00000163558
IL6,P05231,IL6,ENSG00000136244
ADM,P35318,ADM,ENSG00000148926
GAPDH,P04406,GAPDH,ENSG00000111640
ITGA6,P23229,ITGA6,ENSG00000091409
HYAL1,Q12794,HYAL1,ENSG00000114378
DYNC1H1,Q14204,DYNC1H1,ENSG00000197102
PDLIM5,Q96HC4,PDLIM5,ENSG00000163110
DST,Q03001,DST,ENSG00000151914
KIR2DL3,P43628,KIR2DL3,ENSG00000274108
IL1A,P01583,IL1A,ENSG00000115008
CCL22,O00626,CCL22,ENSG00000102962
ILK,Q13418,ILK,ENSG00000166333
ITGB2,P05107,ITGB2,ENSG00000160255
GNAS,Q5JWF2,GNAS,ENSG00000087460
RAVER1,Q8IY67,RAVER1,ENSG00000161847
LPAR1,Q92633,LPAR1,ENSG00000198121
CITED2,Q99967,CITED2,ENSG00000164442
P2RY2,P41231,P2RY2,ENSG00000175591
TAS1R3,Q7RTX0,TAS1R3,ENSG00000169962
CCL27,Q9Y4X3,CCL27,ENSG00000213927
AIF1,P55008,AIF1,ENSG00000206428
PKD1,P98161,PKD1,ENSG00000008710
LILRB2,Q8N423,LILRB2,ENSG00000276146
HLA-F,P30511,HLA-F,ENSG00000235220
TLR6,Q9Y2C9,TLR6,ENSG00000174130
MCAM,P43121,MCAM,ENSG00000076706
ROCK2,O75116,ROCK2,ENSG00000134318
RAP2B,P61225,RAP2B,ENSG00000181467
IMPA1,P29218,IMPA1,ENSG00000133731
